Position (mm),Cluster no.,Si,K,Ca,Ti,Cr,Br,Mn,Fe,Ni,Cu,Zn,Pb,Zr,Rb,PC1,PC2,PC3
121,1,-0.738154389,0.614179373,-0.835178365,0.399085708,-1.775336579,-1.394322566,-1.162634763,4.233251059,-1.333503826,1.125713337,-0.739868186,-1.824851643,0.944241128,0.257757465,-2.500390905,-0.196255548,-0.925372094
122,1,-0.616722932,0.712992389,-1.044604919,0.543961785,-1.735236375,-1.858057205,-1.495151711,4.222525873,-1.182102425,1.102106768,-0.510869927,-1.36558072,0.702950829,0.236188978,-2.599093769,0.203303074,-0.960744167
123,1,-0.767305476,0.450010743,-0.921179799,0.575347136,-1.83650388,-1.352111513,-1.322783898,4.111682458,-1.25302061,0.948686269,-0.594146832,-0.759047791,0.486641345,0.076432395,-1.542863806,-0.083129218,-1.032989528
124,1,-0.724560294,0.501167809,-1.082139806,0.646989827,-1.597500585,-1.389624506,-1.154856474,4.162762464,-1.276295821,0.743722301,-0.588658296,-1.128444374,0.607271198,0.114794713,-1.954992563,0.283529309,-1.344584616
125,1,-0.772887114,0.513192856,-1.090304898,0.442955266,-1.653343393,-1.206096751,-1.269442463,4.157474195,-1.032766905,0.746005369,-0.401723935,-1.283160099,0.494223978,0.180836792,-1.945024771,0.013296473,-1.416254199
126,1,-0.617192886,0.563810711,-0.854261177,0.874025214,-1.836321199,-1.521906065,-1.504080281,4.151441925,-1.095087832,0.607951588,-0.605615333,-0.955121787,0.51435008,0.102526773,-2.599633227,0.259587081,-0.974364687
127,1,-0.75128852,0.616758607,-1.140378993,0.637361555,-1.377541466,-1.496060066,-0.911221082,4.149878135,-1.161481769,0.715773975,-0.515644806,-1.657410998,0.741191488,0.049810156,-2.264476844,0.518288213,-1.442610999
128,1,-0.629386409,0.517477831,-0.918953496,0.557491962,-1.654496236,-1.923972344,-1.230825163,4.161724014,-1.030623181,0.890880632,-0.566438135,-1.039097808,0.581763965,0.16827347,-2.258248095,0.398460045,-0.690309173
129,1,-0.656274688,0.553513323,-1.044115089,0.484126411,-1.747799775,-1.314477712,-1.605829513,4.107041438,-1.171376868,0.928975463,-0.435124587,-0.867751146,0.569089306,0.12008339,-1.797650884,-0.11785373,-1.42841197
130,1,-0.659025883,0.548121069,-1.105042069,0.425518747,-2.201399565,0.198336764,-1.76926621,4.057496945,-1.197196961,1.007698887,-0.573219471,-1.411714457,0.495325487,0.066118339,-1.651654921,-1.772933841,-2.346056738
131,1,-0.761916434,0.56541523,-1.011619258,0.617093395,-2.129040879,-0.05913836,-1.682247575,4.07716493,-1.275433849,0.974580357,-0.763530639,-1.305531881,0.584479565,0.04037442,-1.884767579,-1.335036001,-2.162508739
132,1,-0.634316076,0.701201698,-1.197210555,0.429886603,-1.980508832,-1.477259003,-1.469683209,4.16147447,-1.109241782,1.0142796,-0.786014772,-1.262515653,0.980345486,0.341385487,-2.805566104,-0.882312608,-1.183641148
133,1,-0.617812687,0.609668036,-0.980515936,0.641401916,-1.792027717,-2.64985199,-1.125407291,4.208414733,-1.120045347,1.338674705,-0.556617126,-1.163768158,0.815883913,0.118096353,-2.423480975,0.512117686,-0.048862587
134,1,-0.377291404,0.62255071,-0.874888228,0.863450248,-1.62073464,-1.541691433,-1.336304603,4.187017773,-0.98093344,0.671843843,-0.471478619,-2.000557318,0.516526472,0.085193393,-3.164799319,0.495744618,-1.099431892
135,1,-0.423217033,0.615291331,-1.089235546,0.653064435,-1.12641455,-2.045233728,-1.308736106,4.058923566,-0.917513355,0.589746586,-0.749986494,-1.437947838,0.812254438,0.138539319,-3.027079189,0.839502394,-1.480879936
136,1,-0.288374069,0.811070166,-0.794218363,0.774225008,-2.076395216,-1.523196563,-1.501964343,4.063585831,-0.887460289,0.494848869,-0.840836973,-2.264704815,1.458271367,0.23288384,-4.505582368,-1.073016278,-0.794231335
137,1,-0.258357377,0.710320346,-1.317032813,0.454957586,-1.48867336,-1.606954528,-1.508794763,4.043234787,-1.130803911,0.683902871,-0.590879336,-1.182243822,0.830114419,0.041186544,-2.412481894,-0.246215047,-1.709681256
138,1,-0.102617687,0.846748297,-1.26400015,0.672272593,-2.097262692,-1.791453235,-1.246486567,4.083376569,-0.995944042,0.862041713,-0.70691153,-1.94187382,0.969844438,0.277453973,-3.737080356,-1.28627707,-0.716337312
139,1,-0.745034319,0.663895685,-1.076391455,0.702100112,-1.50247585,-1.350559808,-1.291911081,4.099095081,-1.282462192,0.66210357,-0.688079426,-1.542321759,0.822130608,0.240591106,-2.709766044,0.149958762,-1.611659354
140,1,-0.576628753,0.596902407,-0.982946013,0.580970046,-1.37949954,-0.858083803,-1.509235862,4.101852057,-0.998410238,0.535520122,-0.786235718,-2.139469217,0.910458639,0.101932155,-3.064072917,0.023793982,-2.221364145
141,1,-0.829474376,0.750663724,-1.112214681,0.680014162,-1.54191476,-1.825277171,-0.939327156,4.153361219,-0.990371043,0.724527131,-0.516633744,-1.819546496,0.761968192,0.164799129,-2.892502309,0.364109509,-0.97397577
142,1,-0.641720308,0.666275219,-1.139558736,0.564389249,-1.853447401,-1.693326554,-1.077038379,4.123374536,-0.903015625,0.980118118,-0.853344016,-2.003867987,1.283347713,0.162652508,-3.282761581,-0.681437507,-1.002412598
143,1,-0.344214943,0.74749056,-1.022720573,0.498648321,-1.763495803,-1.488083823,-1.374424504,4.103852817,-0.977258199,0.976950753,-0.952565586,-2.586696111,1.296584425,0.404860791,-4.077265296,-0.907205196,-1.273832629
144,1,-0.512021586,0.651617386,-1.068127915,0.605678205,-1.492850839,-1.700490204,-1.593592409,4.015237733,-0.957332603,1.042167852,-0.884444887,-1.544144134,0.913343236,0.124885876,-2.942530328,-0.061932293,-1.599472596
145,1,-0.192172575,0.74281029,-1.097322763,0.666848749,-1.823065422,-2.840708648,-1.446115484,4.009046686,-0.732517693,0.815130952,-0.591172776,-1.429721674,1.194711235,0.275765243,-3.858806686,-0.285078173,-0.174167273
146,1,-0.101849994,0.867593345,-1.076906035,0.737082596,-1.706337401,-3.359946532,-1.309136803,4.265380999,-0.756062816,1.1063323,-0.534352272,-2.219222758,1.0940256,0.406491157,-4.629431352,0.593441852,0.251260554
147,1,-0.201696791,0.739165201,-0.827510852,0.954511442,-2.087275016,-1.583028363,-1.475195658,4.248723447,-1.122975065,1.392450687,-0.777613881,-3.153626442,0.968888997,0.452130169,-4.575679495,-0.556470637,-0.74947054
148,1,-0.22947238,0.764003835,-1.205062854,0.571577537,-1.708413803,-1.851105565,-1.588269491,4.005547191,-1.086922612,1.270150667,-0.833388427,-1.996095876,1.275008976,0.180427325,-3.395000782,-0.761231165,-1.415196297
149,1,-0.327236217,0.561580884,-1.483468128,0.673823739,-0.887412072,-1.90688704,-1.719145416,3.834459956,-0.954306307,1.225293564,-0.822873551,-1.414712533,0.893174097,0.068099373,-2.536806375,0.504490511,-2.67630501
150,1,-0.125339541,0.473074216,-1.448298027,0.644590602,-1.419826353,-2.53971604,-1.830568518,3.697642056,-1.375222047,1.358665961,-0.464314908,-0.437682176,1.004821105,0.151709275,-1.721483137,-0.254941697,-1.510815662
151,1,-0.1265134,0.718191546,-1.381797167,0.510185972,-2.078484174,-1.177919284,-1.290671767,3.864668818,-1.290671767,1.572818605,-0.490552467,-2.152046741,0.80397615,0.169442507,-2.336619588,-2.001507848,-1.404987617
152,1,-0.402856492,0.584062642,-0.98446443,0.209651856,-1.931060511,-1.812057219,-1.578239137,3.790619452,-1.262949409,1.773086415,-0.244458078,-1.294425541,0.863268197,0.063116379,-1.312212711,-1.24421317,-0.787988541
153,1,-0.441112492,0.485918479,-1.111056775,0.226476091,-1.620354515,-1.325067843,-1.813420611,3.758486947,-1.19224693,1.808076777,0.150838677,-1.50852641,0.447570585,-0.045081416,-0.669876326,-0.70480032,-1.739149219
